school_name,contact_email,match_status,match_score,scorecard_id,nces_name,state,city,zip_code,school_website,institution_control,institution_level,locale,enrollment,acceptance_rate,graduation_rate,avg_cost,source_url,notes
California State University-Channel Islands,ingrid.corleto101@csuci.edu,matched,1.00,441937,California State University-Channel Islands,CA,Camarillo,93012,www.csuci.edu/,public,four_year,Rural: Fringe,"5,230",93.1%,53.4%,"9,792",https://api.data.gov/ed/collegescorecard/v1/schools?id=441937,
California State University-Fresno,eddominguez@mail.fresnostate.edu,matched,1.00,110556,California State University-Fresno,CA,Fresno,93740,www.fresnostate.edu/,public,four_year,City: Large,"21,070",96.4%,54.8%,"6,480",https://api.data.gov/ed/collegescorecard/v1/schools?id=110556,
California State University-Fullerton,cestrella-ramirez@fullerton.edu,matched,1.00,110565,California State University-Fullerton,CA,Fullerton,92832-3599,www.fullerton.edu/,public,four_year,Suburb: Large,"36,956",86.7%,69.2%,"5,646",https://api.data.gov/ed/collegescorecard/v1/schools?id=110565,
California State University-Long Beach,clubsports@csulb.edu,matched,1.00,110583,California State University-Long Beach,CA,Long Beach,90840-0115,www.csulb.edu/,public,four_year,City: Large,"34,131",47.1%,69.9%,"8,931",https://api.data.gov/ed/collegescorecard/v1/schools?id=110583,
Claremont University Consortium,dominiqic.williams@pomona.edu,unmatched,,,,,,,,,,,,,,,,No Scorecard candidates returned
Loyola Marymount University,lmuclubsports@lmu.edu,matched,1.00,117946,Loyola Marymount University,CA,Los Angeles,90045-2659,https://www.lmu.edu/,private_nonprofit,four_year,City: Large,"7,171",40.3%,79.8%,"45,723",https://api.data.gov/ed/collegescorecard/v1/schools?id=117946,
Saint Marys College-California,np9@stmarys-ca.edu,matched,1.00,123554,Saint Mary's College of California,CA,Moraga,94575,https://www.stmarys-ca.edu/,private_nonprofit,four_year,Suburb: Large,"2,024",88.6%,69.0%,"31,198",https://api.data.gov/ed/collegescorecard/v1/schools?id=123554,
San Francisco State University,sprtclub@mail.sfsu.edu,matched,1.00,122597,San Francisco State University,CA,San Francisco,94132,www.sfsu.edu/,public,four_year,City: Large,"20,033",96.2%,50.1%,"12,882",https://api.data.gov/ed/collegescorecard/v1/schools?id=122597,
Santa Barbara City College,collinsa@sbcc.edu,matched,1.00,122889,Santa Barbara City College,CA,Santa Barbara,93109-2394,www.sbcc.edu/,public,two_year,City: Small,"10,070",,,"10,029",https://api.data.gov/ed/collegescorecard/v1/schools?id=122889,
Santa Clara University,clubsports@scu.edu,matched,1.00,122931,Santa Clara University,CA,Santa Clara,95053,www.scu.edu/,private_nonprofit,four_year,City: Midsize,"6,235",43.8%,88.4%,"50,959",https://api.data.gov/ed/collegescorecard/v1/schools?id=122931,
University of California-Merced,jgarcia715@ucmerced.edu,matched,1.00,445188,University of California-Merced,CA,Merced,95343-5603,ucmerced.edu/,public,four_year,Suburb: Midsize,"8,372",39.2%,69.2%,"12,744",https://api.data.gov/ed/collegescorecard/v1/schools?id=445188,
