school_name,contact_email,match_status,match_score,scorecard_id,nces_name,state,city,zip_code,school_website,institution_control,institution_level,locale,enrollment,acceptance_rate,graduation_rate,avg_cost,source_url,notes,geocode_status,geocode_confidence,geocode_needs_review,geocode_query,geocode_source,geocode_source_url,latitude,longitude,geocode_raw,address_complete,geocode_notes
University of California-San Diego,wdiego@ucsd.edu,matched,1.00,110680,University of California-San Diego,CA,San Diego,92093,www.ucsd.edu/,public,four_year,City: Large,"33,787",24.5%,87.6%,"11,750",https://api.data.gov/ed/collegescorecard/v1/schools?id=110680,,review,0.73,true,"University of California-San Diego, La Jolla, CA 92093, USA",nominatim,https://www.openstreetmap.org/w/25822522,32.8792438,-117.2311247,"32.8792438, -117.2311247","University of California, San Diego, 9500, Gilman Drive, San Diego, San Diego County, California, 92093, United States",Coordinates generated from Nominatim
University of California-Santa Barbara,ucsbcycling.president@gmail.com,matched,1.00,110705,University of California-Santa Barbara,CA,Santa Barbara,93106,www.ucsb.edu/,public,four_year,Suburb: Midsize,"23,205",27.8%,85.3%,"13,825",https://api.data.gov/ed/collegescorecard/v1/schools?id=110705,,geocoded,0.78,false,"University of California-Santa Barbara, Santa Barbara, CA, USA",nominatim,https://www.openstreetmap.org/r/12409275,34.4146025,-119.8458100,"34.4146025, -119.8458100","University of California, Santa Barbara, 552, to Baggage Claim, Santa Barbara, Santa Barbara County, California, 93106, United States",Coordinates generated from Nominatim
University of California-Santa Cruz,ucsccycling@gmail.com,matched,1.00,110714,University of California-Santa Cruz,CA,Santa Cruz,95061,www.ucsc.edu/,public,four_year,City: Small,"17,812",62.5%,74.5%,"16,607",https://api.data.gov/ed/collegescorecard/v1/schools?id=110714,,review,0.60,true,"University of California-Santa Cruz, Santa Cruz, CA 95064-1011, USA",nominatim,https://www.openstreetmap.org/w/34944339,36.9594806,-122.0578374,"36.9594806, -122.0578374","University of California Santa Cruz, 2901, Mission Street, Westside Industrial District, Westside, Santa Cruz, Santa Cruz County, California, 95061, United States",Coordinates generated from Nominatim
University of Nevada-Reno,qlucassd3@gmail.com,matched,1.00,182290,University of Nevada-Reno,NV,Reno,89557,www.unr.edu/,public,four_year,City: Large,"15,723",85.3%,62.5%,"15,402",https://api.data.gov/ed/collegescorecard/v1/schools?id=182290,,geocoded,0.75,false,"University of Nevada-Reno, Reno, NV 89557, USA",nominatim,https://www.openstreetmap.org/r/13137620,39.5442688,-119.8163105,"39.5442688, -119.8163105","University of Nevada, Reno, 1664, North Virginia Street, Reno, Washoe County, Nevada, 89557, United States",Coordinates generated from Nominatim
University of California-Berkeley,contact@cycling.berkeley.edu,matched,1.00,110635,University of California-Berkeley,CA,Oakland,94720,www.berkeley.edu/,public,four_year,City: Midsize,"33,073",11.7%,92.9%,"14,979",https://api.data.gov/ed/collegescorecard/v1/schools?id=110635,,geocoded,0.77,false,"University of California-Berkeley, CA, USA",nominatim,https://www.openstreetmap.org/r/2814221,37.8754996,-122.2390685,"37.8754996, -122.2390685","University of California, Berkeley, Claremont Avenue, Oakland, Alameda County, California, 94720, United States",Coordinates generated from Nominatim
University of Southern California,info@usccycling.com,matched,1.00,123961,University of Southern California,CA,Los Angeles,90089,www.usc.edu/,private_nonprofit,four_year,City: Large,"20,817",10.0%,92.0%,"31,927",https://api.data.gov/ed/collegescorecard/v1/schools?id=123961,,geocoded,0.99,false,"University of Southern California, Los Angeles, CA 90089, USA",nominatim,https://www.openstreetmap.org/r/18383936,34.0218690,-118.2858579,"34.0218690, -118.2858579","University of Southern California, South Figueroa Street, University Park, Historic South-Central, Los Angeles, Los Angeles County, California, 90089, United States",Coordinates generated from Nominatim
California State University-Channel Islands,ingrid.corleto101@csuci.edu,matched,1.00,441937,California State University-Channel Islands,CA,Camarillo,93012,www.csuci.edu/,public,four_year,Rural: Fringe,"5,230",93.1%,53.4%,"9,792",https://api.data.gov/ed/collegescorecard/v1/schools?id=441937,,review,0.72,true,"California State University-Channel Islands, Camarillo, CA 93012, USA",nominatim,https://www.openstreetmap.org/w/44288984,34.1672689,-119.0451180,"34.1672689, -119.0451180","California State University Channel Islands, 1, University Drive, Camarillo, Ventura County, California, 93012, United States",Coordinates generated from Nominatim
California State University-Fresno,eddominguez@mail.fresnostate.edu,matched,1.00,110556,California State University-Fresno,CA,Fresno,93740,www.fresnostate.edu/,public,four_year,City: Large,"21,070",96.4%,54.8%,"6,480",https://api.data.gov/ed/collegescorecard/v1/schools?id=110556,,geocoded,0.75,false,"California State University-Fresno, Fresno, CA 93740, USA",nominatim,https://www.openstreetmap.org/w/44175866,36.8209963,-119.7372976,"36.8209963, -119.7372976","California State University, Fresno, 5241, North Maple Avenue, Fresno, Fresno County, California, 93740, United States",Coordinates generated from Nominatim
California State University-Fullerton,cestrella-ramirez@fullerton.edu,matched,1.00,110565,California State University-Fullerton,CA,Fullerton,92831,www.fullerton.edu/,public,four_year,Suburb: Large,"36,956",86.7%,69.2%,"5,646",https://api.data.gov/ed/collegescorecard/v1/schools?id=110565,,geocoded,0.75,false,"California State University-Fullerton, Fullerton, CA 92832-3599, USA",nominatim,https://www.openstreetmap.org/w/32025397,33.8830939,-117.8852152,"33.8830939, -117.8852152","California State University Fullerton, 800, North State College Boulevard, Fullerton, Orange County, California, 92831, United States",Coordinates generated from Nominatim
California State University-Long Beach,clubsports@csulb.edu,matched,1.00,110583,California State University-Long Beach,CA,Long Beach,90822,www.csulb.edu/,public,four_year,City: Large,"34,131",47.1%,69.9%,"8,931",https://api.data.gov/ed/collegescorecard/v1/schools?id=110583,,geocoded,0.76,false,"California State University-Long Beach, Long Beach, CA 90840-0115, USA",nominatim,https://www.openstreetmap.org/w/207858609,33.7817709,-118.1152001,"33.7817709, -118.1152001","California State University, Long Beach, East 7th Street, Long Beach, Los Angeles County, California, 90822, United States",Coordinates generated from Nominatim
Loyola Marymount University,lmuclubsports@lmu.edu,matched,1.00,117946,Loyola Marymount University,CA,Los Angeles,90045,https://www.lmu.edu/,private_nonprofit,four_year,City: Large,"7,171",40.3%,79.8%,"45,723",https://api.data.gov/ed/collegescorecard/v1/schools?id=117946,,geocoded,0.96,false,"Loyola Marymount University, Los Angeles, CA 90045-2659, USA",nominatim,https://www.openstreetmap.org/w/22965722,33.9687824,-118.4182021,"33.9687824, -118.4182021","Loyola Marymount University, Regis Way, Westchester, Los Angeles, Los Angeles County, California, 90045, United States",Coordinates generated from Nominatim
Saint Marys College-California,np9@stmarys-ca.edu,matched,1.00,123554,Saint Mary's College of California,CA,Moraga,94575,https://www.stmarys-ca.edu/,private_nonprofit,four_year,Suburb: Large,"2,024",88.6%,69.0%,"31,198",https://api.data.gov/ed/collegescorecard/v1/schools?id=123554,,geocoded,0.80,false,"Saint Mary's College of California, Moraga, CA 94575, USA",nominatim,https://www.openstreetmap.org/n/358774320,37.8409597,-122.1094590,"37.8409597, -122.1094590","Saint Mary's College of California, De La Salle Drive, Moraga, Contra Costa County, California, 94575, United States",Coordinates generated from Nominatim
San Francisco State University,sprtclub@mail.sfsu.edu,matched,1.00,122597,San Francisco State University,CA,San Francisco,94132,www.sfsu.edu/,public,four_year,City: Large,"20,033",96.2%,50.1%,"12,882",https://api.data.gov/ed/collegescorecard/v1/schools?id=122597,,geocoded,0.97,false,"San Francisco State University, San Francisco, CA 94132, USA",nominatim,https://www.openstreetmap.org/w/28965902,37.7245167,-122.4799957,"37.7245167, -122.4799957","San Francisco State University, 1600, Holloway Avenue, Ingleside Terraces, San Francisco, California, 94132, United States",Coordinates generated from Nominatim
Santa Barbara City College,collinsa@sbcc.edu,matched,1.00,122889,Santa Barbara City College,CA,Santa Barbara,93109,www.sbcc.edu/,public,two_year,City: Small,"10,070",,,"10,029",https://api.data.gov/ed/collegescorecard/v1/schools?id=122889,,geocoded,0.91,false,"Santa Barbara City College, Santa Barbara, CA 93109-2394, USA",nominatim,https://www.openstreetmap.org/w/44581009,34.4058643,-119.6974204,"34.4058643, -119.6974204","Santa Barbara City College, 721, Cliff Drive, Santa Barbara, Santa Barbara County, California, 93109, United States",Coordinates generated from Nominatim
Santa Clara University,clubsports@scu.edu,matched,1.00,122931,Santa Clara University,CA,Santa Clara,95053,www.scu.edu/,private_nonprofit,four_year,City: Midsize,"6,235",43.8%,88.4%,"50,959",https://api.data.gov/ed/collegescorecard/v1/schools?id=122931,,geocoded,0.96,false,"Santa Clara University, Santa Clara, CA 95053, USA",nominatim,https://www.openstreetmap.org/r/4648353,37.3486243,-121.9365440,"37.3486243, -121.9365440","Santa Clara University, 500, El Camino Real, Santa Clara, Santa Clara County, California, 95053, United States",Coordinates generated from Nominatim
University of California-Merced,jgarcia715@ucmerced.edu,matched,1.00,445188,University of California-Merced,CA,Merced,95343,ucmerced.edu/,public,four_year,Suburb: Midsize,"8,372",39.2%,69.2%,"12,744",https://api.data.gov/ed/collegescorecard/v1/schools?id=445188,,review,0.73,true,"University of California-Merced, Merced, CA 95343-5603, USA",nominatim,https://www.openstreetmap.org/w/170555864,37.3651820,-120.4225275,"37.3651820, -120.4225275","University of California, Merced, 5200, Shaver Lake Road, Merced, Merced County, California, 95343, United States",Coordinates generated from Nominatim
